timestamp_utc,source,video_path,every_n,frame_idx,severity,points_inside,inference_ms,system_cpu_percent,process_cpu_percent,process_rss_mb,system_ram_percent,alert_sent,alert_error
2026-02-08T23:32:06.976074+00:00,video,data/samples/video_test3.mp4,30,0,bajo,0,5362.795,89.3,311.8,412.672,72.1,0,
2026-02-08T23:32:12.745535+00:00,video,data/samples/video_test3.mp4,30,30,bajo,0,5113.15,94.3,336.3,571.582,75.8,0,
2026-02-08T23:32:18.170536+00:00,video,data/samples/video_test3.mp4,30,60,bajo,0,4623.896,92.8,348.8,572.043,75.9,0,
2026-02-08T23:32:23.583618+00:00,video,data/samples/video_test3.mp4,30,90,bajo,0,4651.264,92.4,349.9,572.43,75.7,0,
2026-02-08T23:32:29.086132+00:00,video,data/samples/video_test3.mp4,30,120,bajo,0,4531.95,90.8,343.8,573.125,75.6,0,
2026-02-08T23:32:34.629152+00:00,video,data/samples/video_test3.mp4,30,150,bajo,0,4648.335,91.6,343.0,573.164,75.6,0,
2026-02-08T23:32:40.311122+00:00,video,data/samples/video_test3.mp4,30,180,bajo,0,4507.159,87.9,332.6,573.789,75.7,0,
2026-02-08T23:32:45.819627+00:00,video,data/samples/video_test3.mp4,30,210,bajo,0,4606.009,91.4,343.3,573.68,75.6,0,
2026-02-08T23:32:51.342903+00:00,video,data/samples/video_test3.mp4,30,240,bajo,0,4466.702,89.3,338.4,573.996,75.7,0,
2026-02-08T23:32:56.762897+00:00,video,data/samples/video_test3.mp4,30,270,bajo,0,4493.575,91.0,343.2,573.301,76.0,0,
2026-02-08T23:33:02.579462+00:00,video,data/samples/video_test3.mp4,30,300,bajo,0,4777.485,90.6,326.0,573.949,75.6,0,
2026-02-08T23:33:08.534356+00:00,video,data/samples/video_test3.mp4,30,330,bajo,0,4924.069,91.3,323.3,573.887,75.0,0,
2026-02-08T23:33:14.003334+00:00,video,data/samples/video_test3.mp4,30,360,bajo,0,4512.781,91.8,347.0,573.73,75.4,0,
2026-02-08T23:33:19.463739+00:00,video,data/samples/video_test3.mp4,30,390,bajo,0,4538.405,91.5,345.0,573.836,75.1,0,
2026-02-08T23:33:25.115025+00:00,video,data/samples/video_test3.mp4,30,420,bajo,0,4637.711,94.3,332.3,573.852,75.3,0,
2026-02-08T23:33:31.920736+00:00,video,data/samples/video_test3.mp4,30,450,bajo,0,5870.049,94.1,292.5,574.078,74.9,0,
