timestamp_utc,source,video_path,every_n,frame_idx,severity,points_inside,inference_ms,system_cpu_percent,process_cpu_percent,process_rss_mb,system_ram_percent,alert_sent,alert_error
2026-02-08T23:34:03.849452+00:00,video,data/samples/video_test3.mp4,30,0,bajo,0,4767.823,95.3,343.3,412.859,71.9,0,
2026-02-08T23:34:09.338792+00:00,video,data/samples/video_test3.mp4,30,30,bajo,0,4831.787,93.0,345.4,571.754,74.7,0,
2026-02-08T23:34:14.703195+00:00,video,data/samples/video_test3.mp4,30,60,bajo,0,4593.276,93.2,352.5,572.23,75.1,0,
2026-02-08T23:34:22.712688+00:00,video,data/samples/video_test3.mp4,30,90,bajo,0,7215.9,94.5,272.4,572.617,75.5,0,
2026-02-08T23:34:34.802050+00:00,video,data/samples/video_test3.mp4,30,120,bajo,0,10689.561,95.2,195.1,572.25,75.0,0,
2026-02-08T23:34:43.987390+00:00,video,data/samples/video_test3.mp4,30,150,bajo,0,7524.593,95.8,235.8,572.312,75.2,0,
2026-02-08T23:34:49.730156+00:00,video,data/samples/video_test3.mp4,30,180,bajo,0,4634.096,90.2,336.1,572.938,75.3,0,
2026-02-08T23:34:55.150158+00:00,video,data/samples/video_test3.mp4,30,210,bajo,0,4563.387,91.7,349.1,572.832,75.8,0,
2026-02-08T23:35:00.667166+00:00,video,data/samples/video_test3.mp4,30,240,bajo,0,4488.305,89.8,343.5,573.148,75.6,0,
2026-02-08T23:35:06.050674+00:00,video,data/samples/video_test3.mp4,30,270,bajo,0,4482.412,91.2,348.7,572.453,75.6,0,
2026-02-08T23:35:11.590212+00:00,video,data/samples/video_test3.mp4,30,300,bajo,0,4557.258,91.3,343.7,573.102,75.7,0,
2026-02-08T23:35:17.022350+00:00,video,data/samples/video_test3.mp4,30,330,bajo,0,4471.762,92.1,352.0,573.039,75.6,0,
2026-02-08T23:35:22.440671+00:00,video,data/samples/video_test3.mp4,30,360,bajo,0,4507.73,92.2,352.1,572.883,75.8,0,
2026-02-08T23:35:27.795694+00:00,video,data/samples/video_test3.mp4,30,390,bajo,0,4482.811,92.6,353.9,572.988,75.8,0,
2026-02-08T23:35:33.179086+00:00,video,data/samples/video_test3.mp4,30,420,bajo,0,4540.384,91.9,349.6,573.004,75.9,0,
2026-02-08T23:35:38.771142+00:00,video,data/samples/video_test3.mp4,30,450,bajo,0,4643.774,94.4,342.5,573.23,75.7,0,
2026-02-08T23:35:44.195954+00:00,video,data/samples/video_test3.mp4,30,480,bajo,0,4507.64,91.9,350.8,573.773,75.8,0,
2026-02-08T23:35:50.162800+00:00,video,data/samples/video_test3.mp4,30,510,bajo,0,5102.215,89.4,325.6,572.988,76.7,0,
2026-02-08T23:35:55.520909+00:00,video,data/samples/video_test3.mp4,30,540,bajo,0,4524.061,92.2,351.2,573.363,76.7,0,
2026-02-08T23:36:00.881734+00:00,video,data/samples/video_test3.mp4,30,570,bajo,0,4495.535,91.5,349.8,572.988,76.8,0,
2026-02-08T23:36:08.792189+00:00,video,data/samples/video_test3.mp4,30,600,medio,1,4673.193,64.2,244.4,576.977,76.7,1,
2026-02-08T23:36:14.140182+00:00,video,data/samples/video_test3.mp4,30,630,medio,1,4616.884,93.4,355.5,577.211,77.0,0,
2026-02-08T23:36:21.655269+00:00,video,data/samples/video_test3.mp4,30,660,alto,2,4711.104,68.5,256.8,577.035,76.0,1,
